id,source,skill_id,skill_name,installs,skills_url,github_repo_url,mapped_skill_md_path,mapped_skill_folder,repo_sha,mapping_status,content_sha256,canonical_id,alias_of
factorial-io/skills/drupal-recipe-content,factorial-io/skills,drupal-recipe-content,drupal-recipe-content,6,https://skills.sh/factorial-io/skills/drupal-recipe-content,https://github.com/factorial-io/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/factorial-io__skills/create-drupal-recipe/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/factorial-io__skills/create-drupal-recipe,9548fc63999294e7fc8361638e236274deff4314,mapped-frontmatter-name,99a91d6b60e9cc62c89c4a990ba9aa56f972910cad1110dadaba9a6f272c3f55,factorial-io/skills/drupal-recipe-content,
omedia/drupal-skill/drupal-backend,omedia/drupal-skill,drupal-backend,drupal-backend,6,https://skills.sh/omedia/drupal-skill/drupal-backend,https://github.com/omedia/drupal-skill,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/omedia__drupal-skill/drupal-backend/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/omedia__drupal-skill/drupal-backend,4a19d4ea80f2dd2bea2160c1a12bc425a6e13aa6,mapped-frontmatter-name,ba66654626364a38102b57081430e32cbe24aae3c1077ba99571fed69986320d,omedia/drupal-skill/drupal-backend,
ronaldtebrake/drupal-coding-standards-skill/drupal-coding-standards,ronaldtebrake/drupal-coding-standards-skill,drupal-coding-standards,drupal-coding-standards,6,https://skills.sh/ronaldtebrake/drupal-coding-standards-skill/drupal-coding-standards,https://github.com/ronaldtebrake/drupal-coding-standards-skill,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/ronaldtebrake__drupal-coding-standards-skill/.claude/skills/drupal-coding-standards/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/ronaldtebrake__drupal-coding-standards-skill/.claude/skills/drupal-coding-standards,3e91251cf81a604c2c10c24f353641666391840a,mapped-frontmatter-name,4e4ee35a8babea0925478b36df42671db414fb6f3393305c703d77f46095dcf2,ronaldtebrake/drupal-coding-standards-skill/drupal-coding-standards,
scottfalconer/drupal-issue-queue/drupal-issue-queue,scottfalconer/drupal-issue-queue,drupal-issue-queue,drupal-issue-queue,6,https://skills.sh/scottfalconer/drupal-issue-queue/drupal-issue-queue,https://github.com/scottfalconer/drupal-issue-queue,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-issue-queue/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-issue-queue,7be7938d85ca71a1581d913d19cba0aa67c7f2c0,mapped-frontmatter-name,7c6e6e662ce9b2670e3c646a6e53bf0d530196058ffc2d8687d52305f40ff03e,scottfalconer/drupal-issue-queue/drupal-issue-queue,
sparkfabrik/sf-awesome-copilot/drupal-cache-contexts,sparkfabrik/sf-awesome-copilot,drupal-cache-contexts,drupal-cache-contexts,6,https://skills.sh/sparkfabrik/sf-awesome-copilot/drupal-cache-contexts,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-contexts/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-contexts,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,fa005bcfaaf8f88bff5030f7ab49b84614c04ca978192813a749327f22218d5c,sparkfabrik/sf-awesome-copilot/drupal-cache-contexts,
grasmash/drupal-claude-skills/drupal-contrib-mgmt,grasmash/drupal-claude-skills,drupal-contrib-mgmt,drupal-contrib-mgmt,5,https://skills.sh/grasmash/drupal-claude-skills/drupal-contrib-mgmt,https://github.com/grasmash/drupal-claude-skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/grasmash__drupal-claude-skills/.claude/skills/drupal-contrib-mgmt/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/grasmash__drupal-claude-skills/.claude/skills/drupal-contrib-mgmt,d5690e0aa1e38fd1f991b80dee1d1d869d403cab,mapped-frontmatter-name,e8c106aee2ed569a51042fe963bf875d8a343b85b4b3aaedf224661401b0a7b0,grasmash/drupal-claude-skills/drupal-contrib-mgmt,
grasmash/drupal-claude-skills/ivangrynenko-cursorrules-drupal,grasmash/drupal-claude-skills,ivangrynenko-cursorrules-drupal,ivangrynenko-cursorrules-drupal,5,https://skills.sh/grasmash/drupal-claude-skills/ivangrynenko-cursorrules-drupal,https://github.com/grasmash/drupal-claude-skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/grasmash__drupal-claude-skills/.claude/skills/ivangrynenko-cursorrules-drupal/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/grasmash__drupal-claude-skills/.claude/skills/ivangrynenko-cursorrules-drupal,d5690e0aa1e38fd1f991b80dee1d1d869d403cab,mapped-frontmatter-name,cc43c49ad6eaf681482ebfa61026217626a297fcc228f473f31d01b9e8cd4908,grasmash/drupal-claude-skills/ivangrynenko-cursorrules-drupal,
madsnorgaard/drupal-agent-resources/ddev-expert,madsnorgaard/drupal-agent-resources,ddev-expert,ddev-expert,5,https://skills.sh/madsnorgaard/drupal-agent-resources/ddev-expert,https://github.com/madsnorgaard/drupal-agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/ddev-expert/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/ddev-expert,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,df53c342e7a1e47707979c0c788036aa17121e1245e927ab789210c74722ae0e,madsnorgaard/drupal-agent-resources/ddev-expert,
scottfalconer/drupal-contribute-fix/drupal-contribute-fix,scottfalconer/drupal-contribute-fix,drupal-contribute-fix,drupal-contribute-fix,5,https://skills.sh/scottfalconer/drupal-contribute-fix/drupal-contribute-fix,https://github.com/scottfalconer/drupal-contribute-fix,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-contribute-fix/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-contribute-fix,801cee9b6ebe2e6c9ab5740cdc3085de5ea3009a,mapped-frontmatter-name,3193cbca3bf19c1a3b60f6025f68a713f8a4b1182835dab51d4c1482345d8d13,scottfalconer/drupal-contribute-fix/drupal-contribute-fix,
scottfalconer/drupal-intent-testing/drupal-intent-testing,scottfalconer/drupal-intent-testing,drupal-intent-testing,drupal-intent-testing,5,https://skills.sh/scottfalconer/drupal-intent-testing/drupal-intent-testing,https://github.com/scottfalconer/drupal-intent-testing,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-intent-testing/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/scottfalconer__drupal-intent-testing,f5f3cb1662689f17fd0d9b855b7653b9b95401d6,mapped-frontmatter-name,d9a5926df43ea6194fdff103711a7d977050a7966424cd1cfc61376abe5b793c,scottfalconer/drupal-intent-testing/drupal-intent-testing,
madsnorgaard/drupal-agent-resources/docker-local,madsnorgaard/drupal-agent-resources,docker-local,docker-local,4,https://skills.sh/madsnorgaard/drupal-agent-resources/docker-local,https://github.com/madsnorgaard/drupal-agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/docker-local/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/docker-local,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,68589a1b890e92b523f8b82943d9918d5ebe58e2cab6dda18a84b8313ba9ba7b,madsnorgaard/drupal-agent-resources/docker-local,
madsnorgaard/drupal-agent-resources/drupal-migration,madsnorgaard/drupal-agent-resources,drupal-migration,drupal-migration,4,https://skills.sh/madsnorgaard/drupal-agent-resources/drupal-migration,https://github.com/madsnorgaard/drupal-agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/drupal-migration/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/drupal-migration,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,09d65aeb886aaedd7ba83549f44492726dd59d434da5743610b2d59600ab19f0,madsnorgaard/agent-resources/drupal-migration,madsnorgaard/agent-resources/drupal-migration
madsnorgaard/drupal-agent-resources/drupal-security,madsnorgaard/drupal-agent-resources,drupal-security,drupal-security,4,https://skills.sh/madsnorgaard/drupal-agent-resources/drupal-security,https://github.com/madsnorgaard/drupal-agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/drupal-security/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__drupal-agent-resources/.claude/skills/drupal-security,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,6ecaae5ae5cae8b7ddd3b48ca9dce41c2b85186593def6f15b17536d2f19586e,madsnorgaard/agent-resources/drupal-security,madsnorgaard/agent-resources/drupal-security
omedia/drupal-skill/drupal-tooling,omedia/drupal-skill,drupal-tooling,drupal-tooling,4,https://skills.sh/omedia/drupal-skill/drupal-tooling,https://github.com/omedia/drupal-skill,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/omedia__drupal-skill/drupal-tooling/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/omedia__drupal-skill/drupal-tooling,4a19d4ea80f2dd2bea2160c1a12bc425a6e13aa6,mapped-frontmatter-name,210316a4264cabcc22fc910750270fecf744074ee7928dd912e3b18bda335f8d,omedia/drupal-skill/drupal-tooling,
sparkfabrik/sf-awesome-copilot/drupal-cache-debugging,sparkfabrik/sf-awesome-copilot,drupal-cache-debugging,drupal-cache-debugging,4,https://skills.sh/sparkfabrik/sf-awesome-copilot/drupal-cache-debugging,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-debugging/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-debugging,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,4b2d2e8c35383eef1cb7fe7745b247de1517a52b82ffc60ce8f6db15c2856961,sparkfabrik/sf-awesome-copilot/drupal-cache-debugging,
sparkfabrik/sf-awesome-copilot/drupal-cache-maxage,sparkfabrik/sf-awesome-copilot,drupal-cache-maxage,drupal-cache-maxage,3,https://skills.sh/sparkfabrik/sf-awesome-copilot/drupal-cache-maxage,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-maxage/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-maxage,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,6056186728c219bf41b0f3e66e550a0a9c33e879753d67a11a91b7fe34a39b37,sparkfabrik/sf-awesome-copilot/drupal-cache-maxage,
sparkfabrik/sf-awesome-copilot/drupal-cache-tags,sparkfabrik/sf-awesome-copilot,drupal-cache-tags,drupal-cache-tags,3,https://skills.sh/sparkfabrik/sf-awesome-copilot/drupal-cache-tags,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-tags/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-cache-tags,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,6035a0a8031b8341afbdb877e488baf9f21f575e04d82965e98a38a4704c263e,sparkfabrik/sf-awesome-copilot/drupal-cache-tags,
sparkfabrik/sf-awesome-copilot/drupal-dynamic-cache,sparkfabrik/sf-awesome-copilot,drupal-dynamic-cache,drupal-dynamic-cache,3,https://skills.sh/sparkfabrik/sf-awesome-copilot/drupal-dynamic-cache,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-dynamic-cache/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/cache/drupal-dynamic-cache,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,def624cb09be57fa12bfb6fe370878975b1c5b22a3bc9c6b16f4e0419ad2163b,sparkfabrik/sf-awesome-copilot/drupal-dynamic-cache,
sparkfabrik/sf-awesome-copilot/sparkfabrik-drupal-containers,sparkfabrik/sf-awesome-copilot,sparkfabrik-drupal-containers,sparkfabrik-drupal-containers,2,https://skills.sh/sparkfabrik/sf-awesome-copilot/sparkfabrik-drupal-containers,https://github.com/sparkfabrik/sf-awesome-copilot,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/pkg-skills/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/sparkfabrik__sf-awesome-copilot/skills/drupal/pkg-skills,05c1602a3249a496e3d790a1a910e02e40edd7ef,mapped-frontmatter-name,8ab82bf3116d040e1ed5b5356930c33040af199f251d1d19afcf7d1beb716849,sparkfabrik/sf-awesome-copilot/sparkfabrik-drupal-containers,
neversight/learn-skills.dev/drupal-migration,neversight/learn-skills.dev,drupal-migration,drupal-migration,1,https://skills.sh/neversight/learn-skills.dev/drupal-migration,https://github.com/neversight/learn-skills.dev,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/neversight__learn-skills.dev/data/skills-md/madsnorgaard/agent-resources/drupal-migration/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/neversight__learn-skills.dev/data/skills-md/madsnorgaard/agent-resources/drupal-migration,f6f47a92d721ef2462d4bf98e69d96b8acde1f0b,mapped-frontmatter-name,09d65aeb886aaedd7ba83549f44492726dd59d434da5743610b2d59600ab19f0,madsnorgaard/agent-resources/drupal-migration,madsnorgaard/agent-resources/drupal-migration
